iter	Passed	Remaining
436	1338	1724
437	1340	1720
438	1342	1715
439	1344	1711
440	1346	1706
441	1348	1701
442	1351	1699
443	1353	1694
444	1355	1690
445	1356	1685
446	1358	1680
447	1360	1676
448	1362	1672
449	1364	1668
450	1366	1663
451	1368	1659
452	1370	1654
453	1373	1651
454	1374	1646
455	1376	1642
456	1378	1637
457	1380	1633
458	1382	1629
459	1384	1625
460	1386	1621
461	1388	1617
462	1390	1612
463	1392	1608
464	1394	1604
465	1396	1600
466	1398	1596
467	1400	1591
468	1401	1587
469	1403	1582
470	1406	1580
471	1408	1576
472	1410	1571
473	1412	1567
474	1414	1563
475	1417	1559
476	1418	1555
477	1420	1551
478	1422	1547
479	1425	1543
480	1429	1542
481	1432	1539
482	1433	1534
483	1435	1530
484	1437	1526
485	1440	1523
486	1442	1519
487	1443	1514
488	1445	1510
489	1447	1506
490	1448	1501
491	1451	1498
492	1453	1494
493	1455	1490
494	1456	1486
495	1458	1482
496	1460	1478
497	1462	1474
498	1464	1470
499	1466	1466
500	1468	1462
501	1470	1458
502	1472	1455
503	1474	1450
504	1476	1447
505	1478	1443
506	1480	1439
507	1483	1436
508	1485	1432
509	1487	1428
510	1489	1424
511	1491	1421
512	1493	1417
513	1495	1414
514	1497	1410
515	1499	1406
516	1501	1402
517	1503	1399
518	1505	1395
519	1507	1391
520	1509	1387
521	1511	1383
522	1513	1380
523	1515	1376
524	1517	1373
525	1520	1369
526	1522	1366
527	1524	1363
528	1527	1359
529	1529	1356
530	1532	1353
531	1537	1352
532	1539	1348
533	1542	1345
534	1543	1341
535	1546	1338
536	1549	1336
537	1551	1332
538	1553	1328
539	1555	1324
540	1559	1323
541	1561	1319
542	1564	1316
543	1566	1312
544	1569	1310
545	1572	1307
546	1574	1303
547	1576	1300
548	1579	1297
549	1583	1295
550	1586	1293
551	1588	1289
552	1593	1287
553	1595	1284
554	1597	1281
555	1603	1280
556	1605	1277
557	1607	1273
558	1609	1269
559	1611	1266
560	1615	1264
561	1618	1261
562	1619	1257
563	1626	1257
564	1628	1253
565	1630	1250
566	1632	1246
567	1635	1243
568	1637	1240
569	1639	1236
570	1641	1233
571	1643	1229
572	1645	1226
573	1648	1223
574	1649	1219
575	1651	1215
576	1653	1212
577	1655	1208
578	1658	1206
579	1660	1202
580	1662	1198
581	1663	1194
582	1665	1191
583	1667	1188
584	1670	1184
585	1671	1181
586	1673	1177
587	1675	1174
588	1677	1170
589	1679	1166
590	1680	1163
591	1682	1159
592	1684	1156
593	1686	1152
594	1688	1149
595	1690	1145
596	1691	1142
597	1693	1138
598	1695	1135
599	1697	1131
600	1698	1127
601	1700	1124
602	1702	1120
603	1704	1117
604	1705	1113
605	1707	1110
606	1709	1106
607	1711	1103
608	1712	1099
609	1714	1096
610	1716	1092
611	1717	1089
612	1719	1085
613	1721	1082
614	1723	1078
615	1725	1075
616	1726	1071
617	1728	1068
618	1729	1064
619	1731	1061
620	1734	1058
621	1735	1054
622	1737	1051
623	1738	1047
624	1740	1044
625	1742	1040
626	1744	1037
627	1746	1034
628	1747	1030
629	1749	1027
630	1751	1024
631	1752	1020
632	1755	1017
633	1757	1014
634	1758	1011
635	1760	1007
636	1762	1004
637	1764	1001
638	1766	997
639	1768	994
640	1770	991
641	1771	987
642	1773	984
643	1775	981
644	1777	978
645	1778	974
646	1780	971
647	1782	968
648	1783	964
649	1785	961
650	1788	958
651	1789	955
652	1791	951
653	1792	948
654	1794	945
655	1796	942
656	1798	939
657	1800	935
658	1802	932
659	1803	929
660	1805	925
661	1807	922
662	1809	919
663	1811	916
664	1813	913
665	1815	910
666	1817	907
667	1819	904
668	1821	901
669	1823	898
670	1825	895
671	1827	891
672	1829	888
673	1831	885
674	1833	882
675	1835	879
676	1836	876
677	1838	873
678	1841	870
679	1842	867
680	1845	864
681	1846	861
682	1849	858
683	1851	855
684	1853	852
685	1855	849
686	1857	846
687	1859	843
688	1861	840
689	1863	837
690	1865	834
691	1867	831
692	1869	828
693	1871	825
694	1873	822
695	1875	819
696	1877	816
697	1879	813
698	1881	810
699	1886	808
700	1888	805
701	1890	802
702	1893	800
703	1896	797
704	1898	794
705	1900	791
706	1902	788
707	1904	785
708	1908	783
709	1910	780
710	1912	777
711	1914	774
712	1918	772
713	1920	769
714	1922	766
715	1924	763
716	1926	760
717	1929	757
718	1931	754
719	1933	751
720	1935	748
721	1937	746
722	1940	743
723	1941	740
724	1943	737
725	1945	734
726	1947	731
727	1950	728
728	1951	725
729	1953	722
730	1956	719
731	1958	716
732	1960	714
733	1964	711
734	1966	708
735	1967	705
736	1969	702
737	1972	700
738	1974	697
739	1976	694
740	1979	691
741	1981	688
742	1983	686
743	1985	683
744	1987	680
745	1989	677
746	1991	674
747	1994	671
748	1995	668
749	1997	665
750	2000	663
751	2003	660
752	2006	658
753	2008	655
754	2010	652
755	2012	649
756	2014	646
757	2017	644
758	2020	641
759	2022	638
760	2024	635
761	2027	633
762	2029	630
763	2031	627
764	2033	624
765	2038	622
766	2040	619
767	2043	617
768	2044	614
769	2047	611
770	2049	608
771	2051	605
772	2053	602
773	2054	600
774	2057	597
775	2059	594
776	2061	591
777	2063	588
778	2064	585
779	2066	582
780	2069	580
781	2071	577
782	2073	574
783	2074	571
784	2076	568
785	2079	566
786	2081	563
787	2083	560
788	2085	557
789	2087	554
790	2089	552
791	2091	549
792	2093	546
793	2095	543
794	2097	540
795	2099	538
796	2101	535
797	2103	532
798	2105	529
799	2106	526
800	2108	523
801	2110	521
802	2112	518
803	2114	515
804	2116	512
805	2117	509
806	2119	507
807	2122	504
808	2125	501
809	2127	499
810	2129	496
811	2131	493
812	2134	490
813	2136	488
814	2138	485
815	2140	482
816	2142	479
817	2144	477
818	2146	474
819	2148	471
820	2150	468
821	2152	466
822	2153	463
823	2155	460
824	2157	457
825	2159	454
826	2161	452
827	2163	449
828	2164	446
829	2166	443
830	2168	441
831	2170	438
832	2172	435
833	2174	432
834	2176	430
835	2178	427
836	2180	424
837	2182	421
838	2183	419
839	2185	416
840	2187	413
841	2189	410
842	2191	408
843	2193	405
844	2194	402
845	2196	399
846	2199	397
847	2201	394
848	2203	391
849	2204	389
850	2206	386
851	2208	383
852	2210	380
853	2212	378
854	2214	375
855	2215	372
856	2217	370
857	2222	367
858	2224	365
859	2226	362
860	2228	359
861	2230	357
862	2232	354
863	2234	351
864	2236	349
865	2238	346
866	2239	343
867	2242	340
868	2244	338
869	2245	335
870	2247	332
871	2249	330
872	2251	327
873	2253	324
874	2255	322
875	2257	319
876	2258	316
877	2260	314
878	2262	311
879	2264	308
880	2266	306
881	2268	303
882	2270	300
883	2272	298
884	2274	295
885	2276	292
886	2278	290
887	2280	287
888	2281	284
889	2283	282
890	2285	279
891	2287	277
892	2290	274
893	2291	271
894	2293	269
895	2295	266
896	2297	263
897	2299	261
898	2301	258
899	2302	255
900	2304	253
901	2306	250
902	2308	247
903	2310	245
904	2312	242
905	2314	240
906	2315	237
907	2317	234
908	2319	232
909	2321	229
910	2323	227
911	2325	224
912	2327	221
913	2330	219
914	2332	216
915	2334	214
916	2335	211
917	2337	208
918	2339	206
919	2342	203
920	2343	201
921	2345	198
922	2347	195
923	2348	193
924	2351	190
925	2353	188
926	2355	185
927	2356	182
928	2358	180
929	2361	177
930	2363	175
931	2365	172
932	2367	169
933	2368	167
934	2371	164
935	2373	162
936	2375	159
937	2377	157
938	2378	154
939	2380	151
940	2383	149
941	2384	146
942	2386	144
943	2388	141
944	2389	139
945	2391	136
946	2394	133
947	2396	131
948	2397	128
949	2399	126
950	2401	123
951	2403	121
952	2405	118
953	2407	116
954	2409	113
955	2411	110
956	2413	108
957	2416	105
958	2418	103
959	2420	100
960	2422	98
961	2423	95
962	2425	93
963	2427	90
964	2429	88
965	2431	85
966	2433	83
967	2435	80
968	2437	77
969	2439	75
970	2440	72
971	2443	70
972	2445	67
973	2446	65
974	2449	62
975	2450	60
976	2453	57
977	2455	55
978	2457	52
979	2459	50
980	2461	47
981	2463	45
982	2465	42
983	2466	40
984	2468	37
985	2470	35
986	2472	32
987	2474	30
988	2475	27
989	2477	25
990	2479	22
991	2481	20
992	2483	17
993	2485	15
994	2487	12
995	2488	9
996	2491	7
997	2493	4
998	2495	2
999	2496	0
